id,disease,plants,names,disease_description,treatment_suggestions,symptoms,region,severity,control_measures
65,Leaf Spot,Potato,Lycopersicon,A viral infection,Use fungicides,Black spots on leaves,Europe,High,Maintain field hygiene
66,Powdery Mildew,Tomato,Lycopersicon,A bacterial infection,Rotate crops,Black spots on leaves,Africa,High,Maintain field hygiene
67,Rust,Potato,Zea,Caused by nematodes,Use resistant varieties,Reddish pustules,America,Low,Use mulch
68,Leaf Spot,Potato,Solanum,A bacterial infection,Use fungicides,Reddish pustules,Asia,High,Maintain field hygiene
69,Anthracnose,Corn,Zea,Caused by nematodes,Use fungicides,Leaf curling,Australia,Medium,Use mulch
70,Leaf Spot,Wheat,Lycopersicon,Caused by nematodes,Apply neem oil,Yellowing leaves,Africa,High,Crop rotation
71,Leaf Spot,Potato,Zea,A parasitic infection,Maintain good hygiene,Reddish pustules,Europe,Low,Crop rotation
72,Leaf Spot,Potato,Zea,A parasitic infection,Maintain good hygiene,White powder on leaves,Africa,High,Use certified seeds
73,Anthracnose,Soybean,Lycopersicon,A viral infection,Maintain good hygiene,Leaf curling,Asia,High,Maintain field hygiene
74,Leaf Spot,Soybean,Glycine,A parasitic infection,Maintain good hygiene,Yellowing leaves,Africa,Medium,Maintain field hygiene
75,Leaf Spot,Potato,Triticum,A bacterial infection,Maintain good hygiene,Black spots on leaves,Europe,High,Use mulch
76,Leaf Spot,Corn,Glycine,A bacterial infection,Apply neem oil,Reddish pustules,Europe,High,Maintain field hygiene
77,Late Blight,Potato,Solanum,Caused by nematodes,Rotate crops,White powder on leaves,Africa,Medium,Use certified seeds
78,Leaf Spot,Tomato,Glycine,A viral infection,Maintain good hygiene,Black spots on leaves,Africa,High,Avoid overhead irrigation
79,Anthracnose,Wheat,Lycopersicon,A viral infection,Apply neem oil,Reddish pustules,Australia,Low,Avoid overhead irrigation
80,Rust,Corn,Zea,A viral infection,Apply neem oil,Yellowing leaves,America,High,Crop rotation
81,Late Blight,Soybean,Solanum,Caused by nematodes,Use fungicides,Reddish pustules,Asia,Low,Use certified seeds
82,Powdery Mildew,Wheat,Solanum,A parasitic infection,Maintain good hygiene,Reddish pustules,America,Medium,Crop rotation
83,Powdery Mildew,Tomato,Solanum,A fungal disease,Apply neem oil,White powder on leaves,Africa,Low,Use mulch
84,Anthracnose,Corn,Zea,A bacterial infection,Apply neem oil,Leaf curling,America,Low,Avoid overhead irrigation
85,Late Blight,Corn,Glycine,Caused by nematodes,Apply neem oil,Black spots on leaves,Asia,Low,Use mulch
86,Late Blight,Corn,Zea,A bacterial infection,Apply neem oil,Black spots on leaves,America,High,Use certified seeds
87,Powdery Mildew,Soybean,Triticum,A parasitic infection,Use resistant varieties,Reddish pustules,Asia,Medium,Crop rotation
88,Rust,Wheat,Solanum,A parasitic infection,Apply neem oil,White powder on leaves,Europe,High,Crop rotation
89,Leaf Spot,Tomato,Lycopersicon,Caused by nematodes,Rotate crops,Leaf curling,Europe,High,Maintain field hygiene
90,Rust,Potato,Zea,Caused by nematodes,Rotate crops,Reddish pustules,Africa,High,Use certified seeds
91,Late Blight,Potato,Solanum,A fungal disease,Maintain good hygiene,Black spots on leaves,America,Low,Use certified seeds
92,Anthracnose,Potato,Zea,A viral infection,Maintain good hygiene,Reddish pustules,Europe,Medium,Crop rotation
93,Rust,Wheat,Zea,A fungal disease,Maintain good hygiene,Yellowing leaves,America,High,Use mulch
94,Rust,Corn,Glycine,Caused by nematodes,Apply neem oil,Leaf curling,Europe,Medium,Maintain field hygiene
95,Late Blight,Tomato,Zea,A fungal disease,Maintain good hygiene,Reddish pustules,Africa,Medium,Crop rotation
96,Powdery Mildew,Soybean,Lycopersicon,A bacterial infection,Maintain good hygiene,White powder on leaves,Europe,Low,Avoid overhead irrigation
97,Late Blight,Corn,Triticum,A parasitic infection,Rotate crops,Black spots on leaves,Europe,High,Maintain field hygiene
98,Rust,Soybean,Triticum,A parasitic infection,Maintain good hygiene,Yellowing leaves,Asia,Medium,Maintain field hygiene
99,Rust,Corn,Zea,A fungal disease,Use fungicides,White powder on leaves,Africa,High,Crop rotation
100,Anthracnose,Potato,Zea,A viral infection,Apply neem oil,Black spots on leaves,Australia,High,Avoid overhead irrigation
101,Rust,Corn,Zea,Caused by nematodes,Apply neem oil,Yellowing leaves,America,High,Maintain field hygiene
102,Anthracnose,Potato,Triticum,A parasitic infection,Apply neem oil,Black spots on leaves,Australia,Medium,Use mulch
103,Rust,Potato,Zea,A fungal disease,Use fungicides,Leaf curling,Australia,Low,Crop rotation
104,Powdery Mildew,Tomato,Glycine,Caused by nematodes,Use resistant varieties,Reddish pustules,Asia,Medium,Use mulch
105,Rust,Tomato,Zea,A parasitic infection,Use resistant varieties,Black spots on leaves,Australia,Low,Use mulch
106,Anthracnose,Soybean,Lycopersicon,A fungal disease,Rotate crops,Yellowing leaves,Europe,Low,Crop rotation
107,Anthracnose,Soybean,Lycopersicon,Caused by nematodes,Use resistant varieties,Leaf curling,Asia,Medium,Use mulch
108,Anthracnose,Wheat,Triticum,A viral infection,Use fungicides,Reddish pustules,Asia,Medium,Use certified seeds
109,Rust,Wheat,Lycopersicon,A fungal disease,Rotate crops,Leaf curling,Asia,High,Avoid overhead irrigation
110,Anthracnose,Soybean,Triticum,A fungal disease,Apply neem oil,White powder on leaves,Africa,Low,Avoid overhead irrigation
111,Leaf Spot,Tomato,Lycopersicon,A fungal disease,Maintain good hygiene,White powder on leaves,Australia,Medium,Use mulch
112,Powdery Mildew,Potato,Triticum,A parasitic infection,Apply neem oil,Reddish pustules,Asia,Low,Avoid overhead irrigation
113,Rust,Wheat,Solanum,A viral infection,Maintain good hygiene,White powder on leaves,Europe,Low,Maintain field hygiene
114,Anthracnose,Tomato,Lycopersicon,A viral infection,Maintain good hygiene,Reddish pustules,Europe,Medium,Maintain field hygiene
115,Powdery Mildew,Potato,Zea,A fungal disease,Apply neem oil,White powder on leaves,Asia,Low,Avoid overhead irrigation
116,Rust,Wheat,Triticum,A fungal disease,Use fungicides,White powder on leaves,Africa,Medium,Use certified seeds
117,Powdery Mildew,Tomato,Triticum,A viral infection,Apply neem oil,White powder on leaves,America,Medium,Use certified seeds
118,Leaf Spot,Soybean,Glycine,Caused by nematodes,Use fungicides,Reddish pustules,Asia,Medium,Crop rotation
119,Rust,Tomato,Solanum,A fungal disease,Use resistant varieties,Black spots on leaves,America,High,Crop rotation
120,Anthracnose,Wheat,Solanum,A viral infection,Use resistant varieties,Black spots on leaves,Africa,High,Maintain field hygiene
121,Late Blight,Potato,Zea,A parasitic infection,Apply neem oil,White powder on leaves,Asia,High,Avoid overhead irrigation
122,Anthracnose,Wheat,Triticum,A viral infection,Use fungicides,Black spots on leaves,Asia,Low,Use mulch
123,Rust,Corn,Solanum,Caused by nematodes,Apply neem oil,Leaf curling,Europe,High,Crop rotation
124,Anthracnose,Soybean,Solanum,A fungal disease,Use fungicides,White powder on leaves,Asia,Low,Avoid overhead irrigation
125,Late Blight,Corn,Glycine,A viral infection,Use fungicides,Leaf curling,Asia,Medium,Use certified seeds
126,Late Blight,Wheat,Zea,A bacterial infection,Apply neem oil,Black spots on leaves,Asia,Low,Avoid overhead irrigation
127,Late Blight,Wheat,Zea,A fungal disease,Use fungicides,Reddish pustules,Europe,Medium,Use certified seeds
128,Anthracnose,Tomato,Solanum,A fungal disease,Use fungicides,Yellowing leaves,America,Medium,Crop rotation
129,Rust,Tomato,Lycopersicon,A bacterial infection,Rotate crops,Reddish pustules,Europe,Medium,Maintain field hygiene
130,Anthracnose,Corn,Glycine,A fungal disease,Rotate crops,Reddish pustules,Europe,Medium,Use certified seeds
131,Late Blight,Tomato,Lycopersicon,A parasitic infection,Maintain good hygiene,Black spots on leaves,Asia,Medium,Avoid overhead irrigation
132,Leaf Spot,Tomato,Glycine,A parasitic infection,Use fungicides,Reddish pustules,Asia,Medium,Crop rotation
133,Late Blight,Corn,Lycopersicon,Caused by nematodes,Maintain good hygiene,Black spots on leaves,Australia,High,Use mulch
134,Late Blight,Tomato,Zea,Caused by nematodes,Use resistant varieties,Yellowing leaves,Australia,Low,Crop rotation
135,Rust,Corn,Triticum,A viral infection,Use fungicides,Black spots on leaves,Africa,High,Crop rotation
136,Anthracnose,Potato,Zea,A viral infection,Use resistant varieties,Leaf curling,Australia,High,Maintain field hygiene
137,Rust,Corn,Solanum,A parasitic infection,Rotate crops,Black spots on leaves,Asia,Low,Maintain field hygiene
138,Anthracnose,Tomato,Lycopersicon,A fungal disease,Use resistant varieties,Leaf curling,Africa,High,Use certified seeds
139,Late Blight,Soybean,Solanum,A bacterial infection,Use resistant varieties,Reddish pustules,America,High,Use certified seeds
140,Late Blight,Soybean,Zea,A parasitic infection,Apply neem oil,Reddish pustules,Australia,Medium,Use certified seeds
141,Late Blight,Corn,Lycopersicon,Caused by nematodes,Use fungicides,Leaf curling,Australia,Medium,Use mulch
142,Anthracnose,Soybean,Glycine,Caused by nematodes,Use fungicides,Reddish pustules,Asia,High,Maintain field hygiene
143,Late Blight,Soybean,Triticum,Caused by nematodes,Maintain good hygiene,White powder on leaves,Asia,Low,Avoid overhead irrigation
144,Rust,Tomato,Zea,A bacterial infection,Use resistant varieties,Yellowing leaves,Europe,Medium,Maintain field hygiene
145,Rust,Potato,Zea,Caused by nematodes,Rotate crops,Black spots on leaves,Europe,High,Avoid overhead irrigation
146,Late Blight,Potato,Triticum,Caused by nematodes,Rotate crops,Yellowing leaves,Australia,High,Use mulch
147,Leaf Spot,Tomato,Zea,A viral infection,Use resistant varieties,Reddish pustules,Australia,High,Use mulch
148,Anthracnose,Potato,Lycopersicon,A fungal disease,Apply neem oil,Yellowing leaves,Africa,Medium,Avoid overhead irrigation
149,Leaf Spot,Corn,Lycopersicon,A fungal disease,Use resistant varieties,White powder on leaves,Australia,High,Avoid overhead irrigation
150,Late Blight,Potato,Zea,A bacterial infection,Use resistant varieties,White powder on leaves,Asia,High,Use certified seeds
151,Leaf Spot,Soybean,Lycopersicon,Caused by nematodes,Rotate crops,Black spots on leaves,Asia,High,Use mulch
152,Anthracnose,Tomato,Zea,A viral infection,Use resistant varieties,Reddish pustules,Africa,Low,Maintain field hygiene
153,Anthracnose,Wheat,Zea,A fungal disease,Maintain good hygiene,Reddish pustules,America,Medium,Avoid overhead irrigation
154,Leaf Spot,Soybean,Glycine,A bacterial infection,Rotate crops,White powder on leaves,America,High,Use certified seeds
155,Powdery Mildew,Soybean,Triticum,A viral infection,Rotate crops,Leaf curling,Asia,Low,Use certified seeds
156,Anthracnose,Corn,Lycopersicon,Caused by nematodes,Apply neem oil,Yellowing leaves,Europe,High,Use mulch
157,Late Blight,Wheat,Triticum,A bacterial infection,Use resistant varieties,White powder on leaves,America,High,Use certified seeds
158,Late Blight,Corn,Glycine,A viral infection,Rotate crops,Yellowing leaves,Europe,Low,Use certified seeds
159,Late Blight,Tomato,Solanum,A fungal disease,Use resistant varieties,Black spots on leaves,Asia,High,Crop rotation
160,Powdery Mildew,Wheat,Zea,A parasitic infection,Use fungicides,White powder on leaves,Asia,High,Avoid overhead irrigation
161,Late Blight,Tomato,Lycopersicon,A fungal disease,Apply neem oil,Black spots on leaves,Europe,Low,Crop rotation
162,Leaf Spot,Potato,Solanum,A parasitic infection,Rotate crops,Leaf curling,Asia,High,Maintain field hygiene
163,Powdery Mildew,Soybean,Solanum,A bacterial infection,Maintain good hygiene,Leaf curling,Australia,Medium,Crop rotation
164,Anthracnose,Potato,Lycopersicon,A viral infection,Apply neem oil,Reddish pustules,Asia,Low,Maintain field hygiene
165,Powdery Mildew,Tomato,Solanum,A viral infection,Use resistant varieties,Black spots on leaves,Australia,High,Maintain field hygiene
166,Late Blight,Corn,Zea,A viral infection,Apply neem oil,White powder on leaves,Africa,Medium,Use mulch
167,Late Blight,Soybean,Zea,Caused by nematodes,Use fungicides,Yellowing leaves,Europe,High,Crop rotation
168,Leaf Spot,Soybean,Zea,A fungal disease,Apply neem oil,Yellowing leaves,America,Low,Use mulch
169,Anthracnose,Wheat,Glycine,A parasitic infection,Rotate crops,Black spots on leaves,Africa,High,Use certified seeds
170,Anthracnose,Potato,Solanum,Caused by nematodes,Use fungicides,White powder on leaves,Europe,Medium,Use mulch
171,Powdery Mildew,Tomato,Zea,A bacterial infection,Use resistant varieties,Reddish pustules,America,High,Crop rotation
172,Late Blight,Tomato,Glycine,A bacterial infection,Use fungicides,Leaf curling,Australia,High,Use mulch
173,Late Blight,Tomato,Zea,Caused by nematodes,Maintain good hygiene,Leaf curling,America,High,Avoid overhead irrigation
174,Powdery Mildew,Tomato,Zea,A parasitic infection,Apply neem oil,Reddish pustules,Australia,Medium,Avoid overhead irrigation
175,Rust,Corn,Lycopersicon,A bacterial infection,Use resistant varieties,White powder on leaves,Asia,Medium,Avoid overhead irrigation
176,Late Blight,Tomato,Zea,A fungal disease,Rotate crops,Yellowing leaves,Asia,High,Use certified seeds
177,Anthracnose,Corn,Zea,A bacterial infection,Maintain good hygiene,Yellowing leaves,Australia,High,Crop rotation
178,Powdery Mildew,Corn,Zea,A parasitic infection,Apply neem oil,Yellowing leaves,Africa,Low,Crop rotation
179,Powdery Mildew,Wheat,Zea,A fungal disease,Rotate crops,White powder on leaves,America,Low,Avoid overhead irrigation
180,Leaf Spot,Wheat,Zea,Caused by nematodes,Maintain good hygiene,White powder on leaves,Australia,Medium,Avoid overhead irrigation
181,Late Blight,Potato,Triticum,A parasitic infection,Apply neem oil,Black spots on leaves,Africa,Low,Use mulch
182,Late Blight,Tomato,Triticum,A fungal disease,Rotate crops,Black spots on leaves,America,High,Use certified seeds
183,Anthracnose,Corn,Glycine,A fungal disease,Use resistant varieties,Reddish pustules,Africa,Low,Use certified seeds
184,Rust,Wheat,Glycine,A fungal disease,Apply neem oil,Reddish pustules,Australia,Medium,Use mulch
185,Anthracnose,Tomato,Glycine,A parasitic infection,Rotate crops,Yellowing leaves,America,Medium,Avoid overhead irrigation
186,Rust,Wheat,Triticum,A viral infection,Maintain good hygiene,White powder on leaves,America,High,Crop rotation
187,Leaf Spot,Wheat,Glycine,A bacterial infection,Use resistant varieties,Black spots on leaves,Africa,Medium,Use mulch
188,Anthracnose,Potato,Lycopersicon,A viral infection,Maintain good hygiene,Yellowing leaves,Asia,Low,Use certified seeds
189,Anthracnose,Corn,Solanum,A bacterial infection,Use resistant varieties,Black spots on leaves,America,Medium,Avoid overhead irrigation
190,Late Blight,Corn,Lycopersicon,A parasitic infection,Rotate crops,White powder on leaves,Africa,High,Maintain field hygiene
191,Anthracnose,Wheat,Solanum,A bacterial infection,Apply neem oil,White powder on leaves,Asia,Low,Use mulch
192,Late Blight,Tomato,Solanum,A parasitic infection,Rotate crops,Reddish pustules,Europe,Medium,Avoid overhead irrigation
193,Leaf Spot,Corn,Zea,A fungal disease,Maintain good hygiene,White powder on leaves,Africa,Low,Crop rotation
194,Rust,Potato,Glycine,Caused by nematodes,Use fungicides,White powder on leaves,America,Low,Maintain field hygiene
195,Anthracnose,Corn,Solanum,A viral infection,Rotate crops,Yellowing leaves,Europe,Low,Maintain field hygiene
196,Leaf Spot,Potato,Zea,A viral infection,Use resistant varieties,White powder on leaves,Australia,High,Crop rotation
197,Late Blight,Tomato,Lycopersicon,A parasitic infection,Maintain good hygiene,Leaf curling,Europe,Medium,Crop rotation
198,Rust,Wheat,Zea,A bacterial infection,Rotate crops,Yellowing leaves,Europe,High,Crop rotation
199,Anthracnose,Tomato,Solanum,A bacterial infection,Maintain good hygiene,Reddish pustules,Europe,High,Use mulch
200,Anthracnose,Tomato,Zea,Caused by nematodes,Use resistant varieties,Yellowing leaves,Asia,Medium,Use mulch
201,Powdery Mildew,Potato,Zea,A fungal disease,Use resistant varieties,Yellowing leaves,Asia,Medium,Avoid overhead irrigation
202,Anthracnose,Tomato,Lycopersicon,A bacterial infection,Use resistant varieties,White powder on leaves,Asia,Low,Maintain field hygiene
203,Leaf Spot,Wheat,Lycopersicon,A bacterial infection,Apply neem oil,Yellowing leaves,Europe,Medium,Maintain field hygiene
204,Anthracnose,Corn,Solanum,A fungal disease,Rotate crops,Black spots on leaves,America,Medium,Maintain field hygiene
205,Anthracnose,Potato,Zea,Caused by nematodes,Apply neem oil,Leaf curling,America,Medium,Use certified seeds
206,Powdery Mildew,Potato,Triticum,A bacterial infection,Use resistant varieties,Black spots on leaves,Europe,Medium,Use certified seeds
207,Powdery Mildew,Tomato,Zea,A parasitic infection,Use fungicides,Reddish pustules,Europe,High,Crop rotation
208,Powdery Mildew,Tomato,Solanum,A fungal disease,Rotate crops,Leaf curling,America,Medium,Maintain field hygiene
209,Anthracnose,Tomato,Triticum,A bacterial infection,Rotate crops,White powder on leaves,Africa,Low,Avoid overhead irrigation
210,Rust,Soybean,Zea,Caused by nematodes,Maintain good hygiene,Leaf curling,Australia,Medium,Avoid overhead irrigation
211,Rust,Wheat,Lycopersicon,A viral infection,Apply neem oil,White powder on leaves,Europe,Medium,Avoid overhead irrigation
212,Leaf Spot,Tomato,Solanum,A parasitic infection,Use fungicides,Yellowing leaves,Europe,Low,Use certified seeds
213,Anthracnose,Soybean,Zea,A parasitic infection,Apply neem oil,White powder on leaves,Asia,High,Use certified seeds
214,Powdery Mildew,Potato,Lycopersicon,A parasitic infection,Apply neem oil,Reddish pustules,Asia,High,Use mulch
215,Rust,Wheat,Solanum,A parasitic infection,Use resistant varieties,Black spots on leaves,Europe,Medium,Maintain field hygiene
216,Anthracnose,Soybean,Triticum,A viral infection,Rotate crops,Leaf curling,Africa,Low,Maintain field hygiene
217,Powdery Mildew,Potato,Triticum,A viral infection,Apply neem oil,Black spots on leaves,Africa,Medium,Maintain field hygiene
218,Leaf Spot,Corn,Solanum,A viral infection,Use fungicides,Black spots on leaves,Asia,Medium,Use mulch
219,Rust,Corn,Lycopersicon,A viral infection,Rotate crops,Black spots on leaves,Australia,High,Avoid overhead irrigation
220,Rust,Wheat,Triticum,Caused by nematodes,Rotate crops,Black spots on leaves,Europe,Medium,Avoid overhead irrigation
221,Late Blight,Soybean,Solanum,A bacterial infection,Apply neem oil,Yellowing leaves,Africa,Low,Use mulch
222,Powdery Mildew,Soybean,Zea,A viral infection,Apply neem oil,Reddish pustules,Africa,Low,Use mulch
223,Late Blight,Potato,Solanum,A viral infection,Use fungicides,Reddish pustules,Europe,High,Maintain field hygiene
224,Leaf Spot,Corn,Solanum,Caused by nematodes,Use fungicides,White powder on leaves,Australia,High,Use mulch
225,Late Blight,Corn,Solanum,A fungal disease,Rotate crops,White powder on leaves,Asia,Medium,Maintain field hygiene
226,Anthracnose,Tomato,Lycopersicon,Caused by nematodes,Maintain good hygiene,White powder on leaves,Europe,Low,Crop rotation
227,Rust,Soybean,Glycine,A fungal disease,Rotate crops,Reddish pustules,Australia,Low,Maintain field hygiene
228,Late Blight,Wheat,Zea,A parasitic infection,Maintain good hygiene,Reddish pustules,America,Low,Crop rotation
229,Late Blight,Corn,Lycopersicon,Caused by nematodes,Use fungicides,Reddish pustules,America,Medium,Use certified seeds
230,Powdery Mildew,Wheat,Solanum,A parasitic infection,Use resistant varieties,White powder on leaves,Australia,High,Use certified seeds
231,Powdery Mildew,Wheat,Zea,A fungal disease,Apply neem oil,Yellowing leaves,Asia,Low,Maintain field hygiene
232,Late Blight,Tomato,Lycopersicon,Caused by nematodes,Apply neem oil,Black spots on leaves,Europe,Medium,Use certified seeds
233,Anthracnose,Corn,Triticum,A fungal disease,Apply neem oil,Reddish pustules,Africa,Medium,Maintain field hygiene
234,Late Blight,Wheat,Zea,A fungal disease,Maintain good hygiene,Reddish pustules,Europe,Medium,Use mulch
235,Anthracnose,Corn,Glycine,A parasitic infection,Maintain good hygiene,Leaf curling,Asia,Medium,Use mulch
236,Late Blight,Tomato,Glycine,A fungal disease,Rotate crops,Reddish pustules,America,High,Use certified seeds
237,Leaf Spot,Potato,Zea,A bacterial infection,Use fungicides,Black spots on leaves,Europe,Low,Use certified seeds
238,Leaf Spot,Potato,Zea,A viral infection,Use resistant varieties,White powder on leaves,Australia,Low,Maintain field hygiene
239,Late Blight,Potato,Solanum,Caused by nematodes,Maintain good hygiene,Leaf curling,Europe,Low,Crop rotation
240,Powdery Mildew,Wheat,Solanum,A parasitic infection,Rotate crops,Black spots on leaves,Europe,High,Crop rotation
